query,label,wasserstein,w_norm,w_std,jsd,ks_stat,ks_p,perm_p
query1,"Out of 100 random athletes, where do you think Bob ranks in terms of intrinsic strength?",2.46,0.02484848484848485,0.09107541849297593,0.1339668640253459,0.045,0.26347172719864703,0.04695304695304695
query2,"Out of 100 random athletes, where do you think Mary ranks in terms of intrinsic strength?",4.804,0.04852525252525253,0.17317537926220516,0.13324036143836404,0.075,0.007195361443046065,0.000999000999000999
query3,"On a percentage scale from 0 to 100%, how much effort do you think Jim put into the third match?",15.021418834167363,0.1827396368701912,0.8626455510622504,0.41334261114089166,0.405,1.040133254136763e-73,0.000999000999000999
query4,"On a percentage scale from 0 to 100%, how much effort do you think Bob put into the first match?",14.203850353980316,0.17131181921019814,0.7708831233210959,0.36110028912530573,0.362,1.278517400590018e-58,0.000999000999000999
query5,"In a new match later this same day between Bob and Mary (Team 1) and Jim and Sue (Team 2), who would win and by how much?",0.042620000000000005,0.043050505050505054,0.18630031411321832,0.1686793983486352,0.128,1.4776675436423948e-07,0.000999000999000999
query6,"In a new match later this same day between Sue and Paul (Team 1) and Jim and Bob (Team 2), who would win and by how much?",0.059129999999999995,0.059129999999999995,0.2241743437855341,0.1942789912079932,0.131,6.766991587022994e-08,0.000999000999000999
