query,label,wasserstein,w_norm,w_std,jsd,ks_stat,ks_p,perm_p
query1,Bob rank (out of 100),0.766,0.007737373737373737,0.027506016760931853,0.11345867669607575,0.032,0.6854967337920594,0.8781218781218781
query2,Mary rank (out of 100),0.7310000000000001,0.007383838383838385,0.025989100642168576,0.10391806573145827,0.023,0.9542189106778983,0.929070929070929
query3,Jim effort match 3 (%),1.0021264366925626,0.012191140075442036,0.06250823618578194,0.12338962345393989,0.044,0.28779764348473313,0.2887112887112887
query4,Bob effort match 1 (%),0.6252837882495581,0.007768589604039107,0.03642360133576863,0.10034069602186388,0.028,0.8282194040312439,0.7902097902097902
query5,P(team2 wins) Bob+Mary vs Jim+Sue,0.010420000000000002,0.010525252525252528,0.04763224254901265,0.1074927448561098,0.03,0.7593695685682871,0.4905094905094905
query6,P(team2 wins) Sue+Paul vs Jim+Bob,0.007080000000000003,0.007080000000000003,0.028425470874573523,0.11005611755415029,0.019,0.9937026761524456,0.8941058941058941
